# COLUMN pl_orbper:      Orbital Period [days],,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]),,,
#,,,
rowid,,pl_orbper,pl_orbsmax
1,(2062) Aten,346.98750,0.966820
2,(1862) Apollo,650.14500,1.470338
3,(1221) Amor,701.07531,2.660000
4,(434) Hungaria,989.82750,1.944198
5,(25) Phocaea,1358.73000,5.204267
6,(1) Ceres,1683.80250,2.767972
7,(4) Vesta,1325.85750,2.361913
8,153) Hilda,1452.43861,7.930000
9,2212 Hephaistos,1164.78843,2.166535
10,3671 Dionysus,1190.08805,2.197795
11,1685 Toro,583.95700,1.367000
12,(10302) 1989 ML,524.28400,1.272000
13,4034 Vishnu,398.35600,1.060000
14,323 Brucia,1342.44300,2.382000
15,132 Aethra,1538.65200,2.608000
16,433 Eros,643.21900,1.458000
17,1916 Boreas,1250.80000,2.271900
18,1221 Amor,971.63500,1.920000
19,2061 Anza,1244.88300,2.264000
20,15817 Lucianotesi,556.94061,1.324769
