# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct 14 09:46:38 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
#
rowid,pl_hostname,ra,dec
1,11 Com,185.179276,17.792868
2,11 UMi,229.274536,71.823898
3,14 And,352.822571,39.236198
4,14 Her,242.601303,43.817646
5,16 Cyg B,295.466553,50.517525
6,18 Del,314.608063,10.839286
7,1RXS J160929.1-210524,242.376266,-21.083036
8,24 Sex,155.868210,-0.902244
9,24 Sex,155.868210,-0.902244
10,2MASS J01225093-2439505,20.712242,-24.664049
11,2MASS J02192210-3925225,34.842106,-39.422928
12,2MASS J04414489+2301513,70.437073,23.030941
13,2MASS J12073346-3932539,181.889450,-39.548332
14,2MASS J19383260+4603591,294.635864,46.066418
15,2MASS J21402931+1625183 A,325.122162,16.421759
16,30 Ari B,39.240585,24.648064
17,4 UMa,130.053406,64.327934
18,42 Dra,276.496399,65.563484
19,47 UMa,164.866562,40.430256
20,47 UMa,164.866562,40.430256
21,47 UMa,164.866562,40.430256
22,51 Eri,69.400551,-2.473548
23,51 Peg,344.366577,20.768833
24,55 Cnc,133.149216,28.330818
25,55 Cnc,133.149216,28.330818
26,55 Cnc,133.149216,28.330818
27,55 Cnc,133.149216,28.330818
28,55 Cnc,133.149216,28.330818
29,6 Lyn,97.696281,58.162632
30,61 Vir,199.601318,-18.311195
31,61 Vir,199.601318,-18.311195
32,61 Vir,199.601318,-18.311195
33,7 CMa,99.170990,-19.255878
34,70 Vir,202.107544,13.778788
35,75 Cet,38.039253,-1.034896
36,81 Cet,39.424168,-3.396175
37,91 Aqr,348.972900,-9.087737
38,AB Pic,94.803802,-58.054310
39,BD+14 4559,318.399963,14.689387
40,BD+15 2940,240.095566,15.546930
41,BD+20 1790,110.931610,20.416334
42,BD+20 2457,154.186905,19.891409
43,BD+20 2457,154.186905,19.891409
44,BD+20 274,25.920324,21.005314
45,BD+48 738,40.710224,49.586960
46,BD+49 828,45.640530,49.730011
47,BD-06 1339,88.251183,-5.994844
48,BD-06 1339,88.251183,-5.994844
49,BD-08 2823,150.198837,-9.516680
